days_elapsed,time_fraction,artist,album,song,story-category,emotion
89,2.37,Joni Mitchell,Blue,California,nyc,negative
90,13.25,Banks,London,Waiting Game,work,negative
90,13.32,Banks,London,Bedroom Wall,work,negative
90,14.05,Bondax,Gold,Gold,nyc,positive
90,23.95,LCD Soundsystem,Sound Of Silver,New York I Love You But You're Bringing Me Down,nyc,negative
91,23.82,Banks,London,This Is What It Feels Like,work,negative
94,4.63,Joni Mitchell,Blue,California,nyc,negative
94,4.90,Sleater-Kinney,Call the Doctor,Good Things,relationship,negative
95,21.58,Jhameel,,Feisty,relationship,positive
95,21.80,Florence + the Machine,Ceremonials (Deluxe Edition) (Cd1),Shake It Out,nyc,mixed
95,1.77,Taylor Swift,Red,Starlight,relationship,positive
96,13.58,CHVRCHES,The Bones of What You Believe,Gun,nyc,negative
96,13.92,BjÌ¦rk,Biophilia Remix Series I,Crystalline (Current Value Remix),work,negative
97,13.23,All India Radio,Fall,Far Away,nyc,positive
97,23.12,Bon Iver,For Emma Forever Ago (Bonus Track Version),Skinny Love,relationship,negative
98,22.65,Jhameel,Waves: White Lie,White Lie,relationship,mixed
98,23.37,Charli XCX,True Romance,What I Like,work,positive
99,23.98,Joni Mitchell,Blue,California,nyc,negative
100,15.43,LCD Soundsystem,Sound Of Silver,New York I Love You But You're Bringing Me Down,nyc,negative
100,15.73,Banks,London,Bedroom Wall,work,negative
102,14.77,Joni Mitchell,Blue,California,nyc,negative
102,15.20,The Blow,The Blow,From the Future,none,positive
103,14.07,Banks,London,This Is What It Feels Like,work,negative
103,14.27,Banks,London,Bedroom Wall,work,negative
103,0.82,Banks,London,This Is What It Feels Like,work,negative
103,0.97,Banks,London,Waiting Game,work,negative
103,1.20,Rilo Kiley,The Execution of All Things,With Arms Outstretched,nyc,negative
104,13.32,Charli XCX,True Romance,What I Like,work,positive
104,21.57,Bon Iver,For Emma Forever Ago (Bonus Track Version),Skinny Love,relationship,negative
104,21.92,CHVRCHES,The Bones of What You Believe,Gun,nyc,negative
104,22.42,Banks,London,This Is What It Feels Like,work,negative
104,22.53,BjÌ¦rk,Biophilia Remix Series I,Crystalline (Current Value Remix),work,negative
105,1.38,Banks,London,This Is What It Feels Like,work,negative
105,1.47,Banks,London,Waiting Game,work,negative
106,22.57,Taylor Swift,Red,Starlight,relationship,positive
107,14.63,BjÌ¦rk,Biophilia Remix Series I,Crystalline (Current Value Remix),work,negative
108,17.35,Banks,London,This Is What It Feels Like,work,negative
108,23.95,Taylor Swift,Red,Starlight,relationship,positive
108,4.12,The Never Say Nevers,,Black Tongue 11-5 (3),relationship,positive
109,13.73,All India Radio,Fall,Far Away,nyc,positive
109,21.47,Banks,London,This Is What It Feels Like,work,negative
109,21.55,Banks,London,Waiting Game,work,negative
109,21.63,Blue Hawaii,Blooming Summer,Blue Gowns,nyc,positive
110,14.13,Jhameel,,Feisty,relationship,positive
110,14.20,Jhameel,,Feisty,relationship,positive
110,0.08,Joni Mitchell,Blue,California,nyc,negative
111,12.97,The Never Say Nevers,,Black Tongue 11-5 (3),relationship,positive
112,13.43,BjÌ¦rk,Biophilia Remix Series I,Crystalline (Current Value Remix),work,negative
112,20.08,Joni Mitchell,Blue,California,nyc,negative
112,20.33,Jhameel,,Feisty,relationship,positive
113,23.92,Charli XCX,True Romance,What I Like,work,positive
114,0.83,Sleater-Kinney,Call the Doctor,Good Things,relationship,negative
117,14.28,Rilo Kiley,The Execution of All Things,With Arms Outstretched,nyc,negative
118,13.77,The Blow,The Blow,From the Future,none,positive
118,23.88,Jhameel,,Feisty,relationship,positive
119,2.82,The Naked and Famous,In Rolling Waves,The Mess,relationship,negative
122,2.58,Fabolous,There Is No Competition 2: The Grieving Music Mixtape,You Be Killin Em,work,positive
124,1.02,Florence + the Machine,Ceremonials (Deluxe Edition) (Cd1),Shake It Out,nyc,mixed
125,12.88,Jhameel,Waves: White Lie,White Lie,relationship,mixed
125,23.98,Bondax,Gold,Gold,nyc,positive
127,13.57,Joni Mitchell,Blue,California,nyc,negative
130,13.13,The Blow,The Blow,From the Future,none,positive
130,22.57,Bon Iver,For Emma Forever Ago (Bonus Track Version),Skinny Love,relationship,negative
132,22.65,The Naked and Famous,In Rolling Waves,The Mess,relationship,negative
132,22.78,LCD Soundsystem,Sound Of Silver,New York I Love You But You're Bringing Me Down,nyc,negative
132,22.88,Taylor Swift,Red,Starlight,relationship,positive
132,0.87,Diplo,,Barely Standing (Major Lazer Kubiyashi Beat) [feat. Datsik & Sabi],work,mixed
132,1.15,Charli XCX,True Romance,What I Like,work,positive
135,3.40,Bondax,Gold,Gold,nyc,positive
135,3.47,Bondax,Gold,Gold,nyc,positive
137,12.53,The Chemical Brothers,Further,K+D+B,none,positive
138,13.68,LCD Soundsystem,Sound Of Silver,New York I Love You But You're Bringing Me Down,nyc,negative
138,0.60,The Never Say Nevers,,Black Tongue 11-5 (3),relationship,positive
139,22.55,Banks,London,This Is What It Feels Like,work,negative
139,0.15,Banks,London,Bedroom Wall,work,negative
141,14.38,David Byrne & St. Vincent,Brass Tactics EP,Lightning (Kent Rockafeller remix),none,positive
141,23.68,Diplo,,Barely Standing (Major Lazer Kubiyashi Beat) [feat. Datsik & Sabi],work,mixed
141,23.80,Diplo,,Barely Standing (Major Lazer Kubiyashi Beat) [feat. Datsik & Sabi],work,mixed
142,18.45,Banks,London,Bedroom Wall,work,negative
143,2.50,Charli XCX,True Romance,What I Like,work,positive
143,2.57,Banks,London,This Is What It Feels Like,work,negative
143,2.92,Blue Hawaii,Blooming Summer,Blue Gowns,nyc,positive
145,13.90,Diplo,,Barely Standing (Major Lazer Kubiyashi Beat) [feat. Datsik & Sabi],work,mixed
147,13.65,All India Radio,Fall,Far Away,nyc,positive
152,13.63,Florence + the Machine,Ceremonials (Deluxe Edition) (Cd1),Shake It Out,nyc,mixed
152,23.33,Joni Mitchell,Blue,California,nyc,negative
152,23.58,Tycho,Awake,Awake,none,positive
161,13.67,Bon Iver,For Emma Forever Ago (Bonus Track Version),Skinny Love,relationship,negative
162,13.47,Diplo,,Barely Standing (Major Lazer Kubiyashi Beat) [feat. Datsik & Sabi],work,mixed
162,14.37,The Never Say Nevers,,Black Tongue 11-5 (3),relationship,positive
166,3.20,Sylvan Esso,Sylvan Esso,Coffee,none,positive
167,14.27,The Never Say Nevers,,Black Tongue 11-5 (3),relationship,positive
167,22.58,Charli XCX,True Romance,What I Like,work,positive
167,23.22,Yeah Yeah Yeahs,It's Blitz!,Zero,work,mixed
168,13.18,Jhameel,Waves: White Lie,White Lie,relationship,mixed
168,13.25,Jhameel,,Feisty,relationship,positive
168,19.77,Sylvan Esso,Sylvan Esso,Coffee,none,positive
168,22.03,All India Radio,Fall,Far Away,nyc,positive
169,13.80,The Never Say Nevers,,Black Tongue 11-5 (3),relationship,positive
173,13.77,Sylvan Esso,Sylvan Esso,Play It Right,nyc,positive
173,13.82,Sylvan Esso,Sylvan Esso,Coffee,none,positive
176,22.55,Banks,London,This Is What It Feels Like,work,negative
176,22.63,Joni Mitchell,Blue,California,nyc,negative
179,14.02,All India Radio,Fall,Far Away,nyc,positive
180,12.40,BjÌ¦rk,Biophilia Remix Series I,Crystalline (Current Value Remix),work,negative
181,13.20,Diplo,,Barely Standing (Major Lazer Kubiyashi Beat) [feat. Datsik & Sabi],work,mixed
181,21.47,BjÌ¦rk,Biophilia Remix Series I,Crystalline (Current Value Remix),work,negative
183,12.75,Joni Mitchell,Blue,California,nyc,negative
183,12.92,Taylor Swift,Red,Starlight,relationship,positive
183,13.75,David Byrne & St. Vincent,Brass Tactics EP,Lightning (Kent Rockafeller remix),none,positive
184,18.33,Tycho,Awake,Awake,none,positive
184,18.42,Tycho,Awake,Awake,none,positive
184,19.98,All India Radio,Fall,Far Away,nyc,positive
184,0.58,All India Radio,Fall,Far Away,nyc,positive
187,20.67,Diplo,,Barely Standing (Major Lazer Kubiyashi Beat) [feat. Datsik & Sabi],work,mixed
187,20.75,Bondax,Gold,Gold,nyc,positive
189,22.42,Diplo,,Barely Standing (Major Lazer Kubiyashi Beat) [feat. Datsik & Sabi],work,mixed
189,23.20,Banks,London,This Is What It Feels Like,work,negative
189,23.28,Banks,London,Bedroom Wall,work,negative
190,4.98,Arcade Fire,The Suburbs,Sprawl II (Mountains Beyond Mountains),nyc,negative
194,13.28,LCD Soundsystem,Sound Of Silver,New York I Love You But You're Bringing Me Down,nyc,negative
194,13.53,Rilo Kiley,The Execution of All Things,With Arms Outstretched,nyc,negative
194,14.05,Banks,London,This Is What It Feels Like,work,negative
196,14.02,Banks,London,This Is What It Feels Like,work,negative
196,14.17,Banks,London,Waiting Game,work,negative
196,16.88,Banks,London,Bedroom Wall,work,negative
197,14.18,Yeah Yeah Yeahs,It's Blitz!,Zero,work,mixed
197,4.83,Bon Iver,For Emma Forever Ago (Bonus Track Version),Skinny Love,relationship,negative
198,2.43,Charli XCX,True Romance,What I Like,work,positive
199,21.85,The Never Say Nevers,,Black Tongue 11-5 (3),relationship,positive
200,3.43,Joni Mitchell,Blue,California,nyc,negative
200,3.63,Joni Mitchell,Blue,California,nyc,negative
200,3.70,Joni Mitchell,Blue,California,nyc,negative
201,1.50,Banks,London,Bedroom Wall,work,negative
203,5.42,Taylor Swift,Red,Starlight,relationship,positive
209,14.90,Banks,London,Bedroom Wall,work,negative
210,14.20,Diplo,,Barely Standing (Major Lazer Kubiyashi Beat) [feat. Datsik & Sabi],work,mixed
214,13.48,Banks,Goddess,Waiting Game,work,negative
214,13.55,Banks,Goddess,This Is What It Feels Like,work,negative
217,12.88,Blue Hawaii,Blooming Summer,Blue Gowns,nyc,positive
217,22.72,CHVRCHES,The Bones of What You Believe,Gun,nyc,negative
217,22.72,CHVRCHES,The Bones of What You Believe,Gun,nyc,negative
220,16.65,BjÌ¦rk,Biophilia Remix Series I,Crystalline (Current Value Remix),work,negative
220,20.50,All India Radio,Fall,Far Away,nyc,positive
221,14.92,Taylor Swift,Red,We Are Never Ever Getting Back Together,relationship,mixed
221,14.97,Taylor Swift,Red,We Are Never Ever Getting Back Together,relationship,mixed
221,22.30,Taylor Swift,Red,We Are Never Ever Getting Back Together,relationship,mixed
228,23.53,Banks,Goddess (Deluxe),Beggin for Thread,work,negative
229,13.15,Banks,Goddess (Deluxe),Beggin for Thread,work,negative
229,13.98,Sylvan Esso,Hey Mami / Play It Right,Play It Right,nyc,positive
231,22.88,Sylvan Esso,Hey Mami / Play It Right,Play It Right,nyc,positive
231,23.02,Taylor Swift,Shake It Off,Shake It Off,relationship,positive
231,23.07,Ariana Grande,Problem,Problem,relationship,positive
235,19.10,Banks,Goddess (Deluxe),Beggin for Thread,work,negative
241,7.18,Tycho,Awake,Awake,none,positive
242,1.50,Sylvan Esso,Coffee,Coffee,none,positive
242,2.02,Banks,Goddess (Deluxe),Beggin for Thread,work,negative
243,13.73,Taylor Swift,Shake It Off,Shake It Off,relationship,positive
243,13.80,Taylor Swift,Shake It Off,Shake It Off,relationship,positive
243,14.13,Florence + the Machine,Ceremonials (Deluxe Edition) (Cd1),Shake It Out,nyc,mixed
243,14.20,Florence + the Machine,Ceremonials (Deluxe Edition) (Cd1),Shake It Out,nyc,mixed
243,14.37,Florence + the Machine,Ceremonials (Deluxe Edition) (Cd1),Shake It Out,nyc,mixed
243,14.53,Taylor Swift,Shake It Off,Shake It Off,relationship,positive
244,18.42,La Roux,La Roux,Bulletproof,relationship,mixed
244,18.48,BeyoncÌ©,4,Best Thing I Never Had,relationship,negative
244,18.70,Kelly Clarkson,Breakaway,Since U Been Gone,relationship,negative
244,22.35,Kelly Clarkson,Breakaway,Since U Been Gone,relationship,negative
244,22.80,Florence + the Machine,Ceremonials (Deluxe Edition) (Cd1),Shake It Out,nyc,mixed
244,22.95,Taylor Swift,Shake It Off,Shake It Off,relationship,positive
245,13.32,Taylor Swift,Shake It Off,Shake It Off,relationship,positive
245,15.75,Florence + the Machine,Ceremonials (Deluxe Edition) (Cd1),Shake It Out,nyc,mixed
245,22.18,BeyoncÌ©,4,Best Thing I Never Had,relationship,negative
245,23.18,Florence + the Machine,Ceremonials (Deluxe Edition) (Cd1),Shake It Out,nyc,mixed
245,1.38,Florence + the Machine,Ceremonials (Deluxe Edition) (Cd1),Shake It Out,nyc,mixed
246,14.07,Florence + the Machine,Ceremonials (Deluxe Edition) (Cd1),Shake It Out,nyc,mixed
246,14.17,Florence + the Machine,Ceremonials (Deluxe Edition) (Cd1),Shake It Out,nyc,mixed
246,14.40,Taylor Swift,Red,We Are Never Ever Getting Back Together,relationship,mixed
247,21.58,Florence + the Machine,Ceremonials (Deluxe Edition) (Cd1),Shake It Out,nyc,mixed
249,23.37,BeyoncÌ©,4,Best Thing I Never Had,relationship,negative
249,23.43,BeyoncÌ©,4,Best Thing I Never Had,relationship,negative
250,0.03,Taylor Swift,Shake It Off,Shake It Off,relationship,positive
250,0.10,Taylor Swift,Shake It Off,Shake It Off,relationship,positive
