days_elapsed,time_fraction,artist,album,song,story-category,emotion
324,21.10,Jhameel,Lion's Den,Feisty,relationship,positive
324,0.00,Ariana Grande,My Everything (Deluxe),Problem,relationship,positive
324,0.10,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
324,0.23,Kelly Clarkson,Breakaway,Since U Been Gone,relationship,negative
326,21.08,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
327,20.85,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
327,20.95,Ariana Grande,My Everything (Deluxe),Problem,relationship,positive
327,21.00,BeyoncÌ©,4,Best Thing I Never Had,relationship,negative
327,21.87,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
327,22.00,Kelly Clarkson,Breakaway,Since U Been Gone,relationship,negative
327,22.05,La Roux,La Roux,Bulletproof,relationship,mixed
328,15.60,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
328,15.70,Kendrick Lamar,good kid m.A.A.d city,Backseat Freestyle,work,positive
328,15.78,Drake,Nothing Was the Same,Started from the Bottom,work,positive
328,15.90,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
328,16.02,Jay-Z,The Blueprint 3,On to the Next One,none,positive
328,16.13,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
328,0.25,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
328,0.33,La Roux,La Roux,Bulletproof,relationship,mixed
328,0.42,La Roux,La Roux,Bulletproof,relationship,mixed
328,0.47,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
328,2.78,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
329,14.52,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
329,15.57,Kendrick Lamar,good kid m.A.A.d city,Backseat Freestyle,work,positive
329,15.68,Run the Jewels,Run the Jewels 2,Blockbuster Night Part 1,work,positive
329,15.73,Fabolous,There Is No Competition 2: The Grieving Music Mixtape,You Be Killin Em,work,positive
329,15.78,Drake,Nothing Was the Same,Started from the Bottom,work,positive
329,15.83,Jessie J,Bang Bang,Bang Bang,relationship,positive
329,15.90,Jhameel,Lion's Den,Feisty,relationship,positive
329,23.12,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
329,23.23,Fabolous,There Is No Competition 2: The Grieving Music Mixtape,You Be Killin Em,work,positive
329,23.30,Run the Jewels,Run the Jewels 2,Blockbuster Night Part 1,work,positive
330,14.90,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
330,15.35,BeyoncÌ©,4,Best Thing I Never Had,relationship,negative
330,15.87,Fabolous,There Is No Competition 2: The Grieving Music Mixtape,You Be Killin Em,work,positive
330,15.92,Run the Jewels,Run the Jewels 2,Blockbuster Night Part 1,work,positive
330,15.97,Estelle,Total Club Hits Vol. 2,American Boy,relationship,positive
330,16.00,Drake,Nothing Was the Same,Started from the Bottom,work,positive
330,0.93,Ariana Grande,My Everything (Deluxe),Break Your Heart Right Back,relationship,negative
330,1.00,The Blow,The Blow,From the Future,none,positive
331,17.20,Selena Gomez,The Heart Wants What It Wants,The Heart Wants What It Wants,relationship,negative
331,17.32,Sleater-Kinney,Call the Doctor,Good Things,relationship,negative
331,21.37,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
331,2.40,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
331,2.53,Ariana Grande,My Everything (Deluxe),Problem,relationship,positive
331,2.60,Kendrick Lamar,good kid m.A.A.d city,Backseat Freestyle,work,positive
331,2.75,Estelle,Total Club Hits Vol. 2,American Boy,relationship,positive
332,17.02,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
332,18.43,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
332,18.50,Kelly Clarkson,Breakaway,Since U Been Gone,relationship,negative
332,18.70,Jay-Z,The Blueprint 3,Empire State Of Mind [Jay-Z + Alicia Keys],nyc,positive
332,22.25,Ariana Grande,My Everything (Deluxe),Problem,relationship,positive
332,22.30,BeyoncÌ©,4,Best Thing I Never Had,relationship,negative
333,16.57,Selena Gomez,The Heart Wants What It Wants,The Heart Wants What It Wants,relationship,negative
333,16.77,Kendrick Lamar,good kid m.A.A.d city,Backseat Freestyle,work,positive
333,18.05,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
333,0.55,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
333,0.62,Jhameel,Lion's Den,Feisty,relationship,positive
333,0.88,Drake,Nothing Was the Same,Started from the Bottom,work,positive
333,4.28,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
333,4.48,Selena Gomez,The Heart Wants What It Wants,The Heart Wants What It Wants,relationship,negative
334,13.93,Selena Gomez,The Heart Wants What It Wants,The Heart Wants What It Wants,relationship,negative
334,14.62,Jessie J,Bang Bang,Bang Bang,relationship,positive
334,14.88,Fabolous,There Is No Competition 2: The Grieving Music Mixtape,You Be Killin Em,work,positive
334,14.98,Kendrick Lamar,good kid m.A.A.d city,Backseat Freestyle,work,positive
334,0.82,Run the Jewels,Run the Jewels 2,Blockbuster Night Part 1,work,positive
334,1.00,Kendrick Lamar,good kid m.A.A.d city,Backseat Freestyle,work,positive
334,1.05,Fabolous,There Is No Competition 2: The Grieving Music Mixtape,You Be Killin Em,work,positive
334,1.15,Drake,Nothing Was the Same,Started from the Bottom,work,positive
334,2.25,Selena Gomez,For You,The Heart Wants What It Wants,relationship,negative
334,2.35,Bon Iver,For Emma Forever Ago,Skinny Love,relationship,negative
334,4.93,Selena Gomez,For You,The Heart Wants What It Wants,relationship,negative
334,5.02,Selena Gomez,For You,The Heart Wants What It Wants,relationship,negative
335,14.42,Selena Gomez,The Heart Wants What It Wants,The Heart Wants What It Wants,relationship,negative
335,14.48,Selena Gomez,The Heart Wants What It Wants,The Heart Wants What It Wants,relationship,negative
336,15.90,Drake,Nothing Was the Same,Started from the Bottom,work,positive
336,16.07,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
336,16.22,Jhameel,Lion's Den,Feisty,relationship,positive
336,1.33,Drake,Nothing Was the Same,Started from the Bottom,work,positive
336,1.40,Glass Animals,ZABA,Gooey,none,positive
336,1.67,Banks,Goddess (Deluxe),Beggin for Thread,work,negative
337,13.87,Selena Gomez,The Heart Wants What It Wants,The Heart Wants What It Wants,relationship,negative
337,13.93,Selena Gomez,The Heart Wants What It Wants,The Heart Wants What It Wants,relationship,negative
337,2.38,Glass Animals,ZABA,Gooey,none,positive
337,2.55,Drake,Nothing Was the Same,Started from the Bottom,work,positive
337,2.60,Ariana Grande,Problem,Problem,relationship,positive
337,2.72,Jay-Z,The Blueprint 3,Empire State Of Mind [Jay-Z + Alicia Keys],nyc,positive
337,2.75,Sleater-Kinney,Call the Doctor,Good Things,relationship,negative
338,19.90,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
338,20.28,Florence + the Machine,Ceremonials (Deluxe Edition) (Cd1),Shake It Out,nyc,mixed
338,23.65,The Chemical Brothers,Further,K+D+B,none,positive
338,2.68,Blue Hawaii,Blooming Summer,Blue Gowns,nyc,positive
338,6.18,The Naked and Famous,In Rolling Waves,The Mess,relationship,negative
338,6.25,Tycho,Awake,Awake,none,positive
339,5.73,Jessie J,Bang Bang,Bang Bang,relationship,positive
339,5.80,Run the Jewels,Run the Jewels 2,Blockbuster Night Part 1,work,positive
339,5.92,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
340,4.37,Run the Jewels,Run the Jewels 2,Blockbuster Night Part 1,work,positive
342,15.30,Sylvan Esso,Sylvan Esso,Play It Right,nyc,positive
342,0.75,Run the Jewels,Run the Jewels 2,Blockbuster Night Part 1,work,positive
342,1.10,Drake,Nothing Was the Same,Started from the Bottom,work,positive
343,3.55,Sylvan Esso,Sylvan Esso,Play It Right,nyc,positive
343,3.63,Sylvan Esso,Sylvan Esso,Coffee,none,positive
344,14.10,BjÌ¦rk,Biophilia Remix Series I,Crystalline (Current Value Remix),work,negative
344,14.25,David Byrne & St. Vincent,Brass Tactics EP,Lightning (Kent Rockafeller remix),none,positive
345,1.38,Jessie J,Bang Bang,Bang Bang,relationship,positive
345,1.45,Glass Animals,ZABA,Gooey,none,positive
345,1.60,Run the Jewels,Run the Jewels 2,Blockbuster Night Part 1,work,positive
347,14.05,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
347,14.27,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
347,14.42,CHVRCHES,The Bones of What You Believe,Gun,nyc,negative
347,14.67,Drake,Nothing Was the Same,Started from the Bottom,work,positive
347,14.72,Run the Jewels,Run the Jewels 2,Blockbuster Night Part 1,work,positive
347,14.78,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
347,14.87,Fabolous,There Is No Competition 2: The Grieving Music Mixtape,You Be Killin Em,work,positive
347,20.12,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
347,3.63,Kendrick Lamar,good kid m.A.A.d city,Backseat Freestyle,work,positive
347,4.18,Yeah Yeah Yeahs,It's Blitz!,Zero,work,mixed
347,4.27,The Chemical Brothers,Further,K+D+B,none,positive
348,15.28,Estelle,Total Club Hits Vol. 2,American Boy,relationship,positive
348,16.50,Banks,Goddess,Waiting Game,work,negative
348,20.33,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
348,23.42,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
349,15.07,Glass Animals,ZABA,Gooey,none,positive
349,15.17,Drake,Nothing Was the Same,Started from the Bottom,work,positive
349,2.92,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
349,3.17,Glass Animals,ZABA,Gooey,none,positive
350,23.57,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
350,0.15,Sylvan Esso,Sylvan Esso,Play It Right,nyc,positive
351,14.57,Glass Animals,ZABA,Gooey,none,positive
351,0.58,Glass Animals,ZABA,Gooey,none,positive
351,0.67,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
351,5.63,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
352,16.73,Fabolous,There Is No Competition 2: The Grieving Music Mixtape,You Be Killin Em,work,positive
352,16.92,Drake,Nothing Was the Same,Started from the Bottom,work,positive
352,5.13,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
353,18.15,Glass Animals,ZABA,Gooey,none,positive
353,22.22,Sia,1000 Forms of Fear,Elastic Heart,nyc,positive
353,0.25,Ariana Grande,Problem,Problem,relationship,positive
353,4.15,Banks,Goddess,This Is What It Feels Like,work,negative
354,15.20,Banks,London,Bedroom Wall,work,negative
354,15.40,The Chemical Brothers,Further,K+D+B,none,positive
354,15.52,Charli XCX,True Romance,What I Like,work,positive
354,17.43,Run the Jewels,Run the Jewels 2,Blockbuster Night Part 1,work,positive
354,1.93,All India Radio,Fall,Far Away,nyc,positive
356,14.73,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
356,15.18,Run the Jewels,Run the Jewels 2,Blockbuster Night Part 1,work,positive
356,1.57,Kendrick Lamar,good kid m.A.A.d city,Backseat Freestyle,work,positive
356,2.15,Glass Animals,ZABA,Gooey,none,positive
357,2.57,Banks,Goddess,Waiting Game,work,negative
358,14.87,SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,nyc,positive
358,0.72,Taylor Swift,Red,We Are Never Ever Getting Back Together,relationship,mixed
358,5.80,Ariana Grande,Problem,Problem,relationship,positive
358,5.85,Glass Animals,ZABA,Gooey,none,positive
359,20.97,Glass Animals,ZABA,Gooey,none,positive
359,21.15,Jay-Z,The Blueprint 3,On to the Next One,none,positive
360,18.30,Drake,Nothing Was the Same,Started from the Bottom,work,positive
360,18.62,Banks,Goddess (Deluxe),Beggin for Thread,work,negative
360,19.43,Kendrick Lamar,good kid m.A.A.d city,Backseat Freestyle,work,positive
360,1.33,The Naked and Famous,In Rolling Waves,The Mess,relationship,negative
361,5.00,Frank Sinatra,Sinatra: Best of the Best,Theme from New York New York,nyc,positive
362,14.48,Sky Ferreira,You‰Ûªre Not The One (Remixes),You‰Ûªre Not The One - Blood Diamonds Remix,relationship,negative
362,14.55,MÌ÷,No Mythologies to Follow (Deluxe),Walk This Way,work,positive
362,14.92,The Blow,The Blow,From the Future,none,positive
362,14.97,Ariana Grande,My Everything (Deluxe),Break Your Heart Right Back,relationship,negative
362,23.63,MÌ÷,No Mythologies to Follow (Deluxe),Walk This Way,work,positive
362,23.73,Ariana Grande,My Everything (Deluxe),Break Your Heart Right Back,relationship,negative
363,0.15,Jhameel,Lion's Den,Feisty,relationship,positive
363,0.32,Jay-Z,The Blueprint 3,On to the Next One,none,positive
363,0.40,Run the Jewels,Run the Jewels 2,Blockbuster Night Part 1,work,positive
365,14.17,Glass Animals,ZABA,Gooey,none,positive
365,23.77,Sky Ferreira,You‰Ûªre Not The One (Remixes),You‰Ûªre Not The One - Blood Diamonds Remix,relationship,negative
366,19.75,Glass Animals,ZABA,Gooey,none,positive
366,21.58,Ariana Grande,Problem,Problem,relationship,positive
366,22.52,Frank Sinatra,Sinatra: Best of the Best,Theme from New York New York,nyc,positive
